id,Question,Topic,JobTitle
1,What is the purpose of feature engineering in machine learning?,Feature Engineering,Data Science
2,What are some common techniques for feature engineering?,Feature Engineering,Data Science
3,What is the difference between batch processing and real-time processing?,"Batch Processing,Real-Time Processing",Data Science
4,What is natural language processing (NLP)?,"Natural Language Processing,NLP",Data Science
5,What is sentiment analysis?,Sentiment Analysis,Data Science
6,What is transfer learning in NLP?,Transfer Learning,Data Science
7,What is named entity recognition (NER)?,Named Entity Recognition,Data Science
8,What are some challenges in working with unstructured data?,Unstructured Data,Data Science
9,What is collaborative filtering in recommendation systems?,"Collaborative Filtering,Recommendation Systems",Data Science
10,What are some evaluation metrics used in recommendation systems?,Evaluation Metrics,Data Science
11,What is deep reinforcement learning?,Deep Reinforcement Learning,Data Science
12,What is the Markov Decision Process (MDP)?,Markov Decision Process,Data Science
13,What is policy gradient in reinforcement learning?,Policy Gradient,Data Science
14,What is a convolutional neural network (CNN)?,"Convolutional Neural Network,CNN",Data Science
15,What is data augmentation in deep learning?,Data Augmentation,Data Science
16,What is sequence-to-sequence learning?,Sequence-to-sequence learning,Data Science
17,What is attention mechanism in deep learning?,Attention Mechanism,Data Science
18,What are some common optimization algorithms used in deep learning?,Optimization Algorithms,Data Science
19,What is semi-supervised learning?,Semi Supervised Learning,Data Science
20,What is self-supervised learning?,Self Supervised Learning,Data Science
21,What is reinforcement learning?,Reinforcement Learning,Data Science
22,What is Q-learning?,Q-Learning,Data Science
23,What is the exploration-exploitation tradeoff in reinforcement learning?,"exploration-exploitation tradeoff,reinforcement learning",Data Science
24,What is the difference between on-policy and off-policy learning in reinforcement learning?,"on policy,off policy,reinforcement learning",Data Science
25,How do you handle missing data in a dataset?,Missing data,Data Science
26,Explain the curse of dimensionality?,curse of dimensionality,Data Science
27,What is the purpose of cross-validation?,cross validation,Data Science
28,How does regularization prevent overfitting in neural networks?,"regularization,neural networks",Data Science
29,What is the elbow method used for in K-means clustering?,elbow method,Data Science
30,What is the purpose of activation functions in neural networks?,"activation function,neural network",Data Science
31,What is backpropagation?,backpropagation,Data Science
32,What is the p-value in hypothesis testing?,p-value,Data Science
33,What is the difference between bagging and boosting?,"bagging,boosting",Data Science
34,What is the purpose of cross-validation in model evaluation?,,Data Science
35,What is the difference between batch gradient descent and stochastic gradient descent?,gradient descent,Data Science
36,What is batch normalization in neural networks?,batch normalization,Data Science
37,What is the Kullback-Leibler (KL) divergence?,,Data Science
38,What is DBSCAN clustering?,DBSCAN,Data Science
39,What is t-SNE,t-SNE,Data Science
40,What is Singular Value Decomposition (SVD)?,"SVD,Singular Value Decomposition",Data Science
41,What is association rule learning?,,Data Science
42,What is the purpose of density estimation?,density estimation,Data Science
43,What is the Gaussian Mixture Model (GMM)?,"GMM,gaussian mixture model",Data Science
44,What is the Expectation-Maximization (EM) algorithm?,"EM,Expectation-Maximization",Data Science
45,What is the difference between generative and discriminative models?,"Generative Models,Discriminative Models",Data Science
46,What is a Variational Autoencoder (VAE)?,"VAE,Variational Autoencoder",Data Science
47,What is a Generative Adversarial Network (GAN)?,"GAN,Generative Adversarial Network",Data Science
48,What is a Restricted Boltzmann Machine (RBM)?,"RBM,Restricted Boltzmann Machine",Data Science
49,What is the purpose of self-organizing maps (SOMs)?,"SOM,self-organizing maps",Data Science
50,What is the difference between generative and discriminative clustering algorithms?,clustering algorithms,Data Science
51,What is anomaly detection?,Anomaly Detection,Data Science
52,What are the common anomaly detection techniques?,Anomaly Detection,Data Science
53,What is Isolation Forest?,Isolation Forest,Data Science
54,What is exploitation in reinforcement learning?,"Exploitation,Reinforcement Learning",Data Science
55,What is the exploration-exploitation trade-off in reinforcement learning?,"exploration-exploitation trade-off,reinforcement learning",Data Science
56,What is SARSA?,SARSA,Data Science
57,What are Deep Q-Networks (DQN)?,"Deep Q-Networks,DQN",Data Science
58,What is the advantage function in reinforcement learning?,"Reinforcement Learning,advantage function",Data Science
59,What is the exploration-exploitation dilemma in reinforcement learning?,"Reinforcement Learning,exploration-exploitation dilemma",Data Science
